Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Returns
05-08-2016,764.81,768.47,763.09,765.98,2704391,0,1,764.81,768.47,763.09,765.98,2704391,0.0007572
08-08-2016,766.81,767,761.015,766.56,1986272,0,1,766.81,767,761.015,766.56,1986272,0.002282926
09-08-2016,767.39,772.6,766.9,768.31,1876091,0,1,767.39,772.6,766.9,768.31,1876091,0.000325389
10-08-2016,769.8,772.1,766.19,768.56,1604280,0,1,769.8,772.1,766.19,768.56,1604280,0.003487041
11-08-2016,769.94,773.75,769.12,771.24,2019740,0,1,769.94,773.75,769.12,771.24,2019740,0.001711529
12-08-2016,768.46,773.15,768.4225,772.56,1563318,0,1,768.46,773.15,768.4225,772.56,1563318,-0.005268199
15-08-2016,771.9,772.04,767.71,768.49,2118521,0,1,771.9,772.04,767.71,768.49,2118521,-0.005790576
16-08-2016,768.62,768.7317,763.82,764.04,1604561,0,1,768.62,768.7317,763.82,764.04,1604561,0.000772211
17-08-2016,764.41,765.22,759.199,764.63,1891116,0,1,764.41,765.22,759.199,764.63,1891116,-0.00022233
18-08-2016,764,765.17,760.6,764.46,1458834,0,1,764,765.17,760.6,764.46,1458834,-0.009353007
19-08-2016,761.9,762.49,756.89,757.31,2343237,0,1,761.9,762.49,756.89,757.31,2343237,0.002865405
22-08-2016,757.5,759.85,752.1,759.48,1679251,0,1,757.5,759.85,752.1,759.48,1679251,0.00391057
23-08-2016,763.31,764.7,761,762.45,1524131,0,1,763.31,764.7,761,762.45,1524131,-0.006820119
24-08-2016,763,763.41,755.36,757.25,1744107,0,1,763,763.41,755.36,757.25,1744107,0.002601519
25-08-2016,756,760.56,754.741,759.22,1622992,0,1,756,760.56,754.741,759.22,1622992,0.012881642
26-08-2016,760.05,770,759.795,769,2776830,0,1,760.05,770,759.795,769,2776830,0.002977893
29-08-2016,768.72,774.98,768.6,771.29,2198560,0,1,768.72,774.98,768.6,771.29,2198560,-0.004810123
30-08-2016,771.05,771.8358,765.56,767.58,1709158,0,1,771.05,771.8358,765.56,767.58,1709158,0.002058417
31-08-2016,766.6,769.64,764,769.16,1633789,0,1,766.6,769.64,764,769.16,1633789,0.001898175
01-09-2016,770.9,772.04,766.75,770.62,1792271,0,1,770.9,772.04,766.75,770.62,1792271,0.002361735
02-09-2016,774.11,776,771.7,772.44,2181792,0,1,774.11,776,771.7,772.44,2181792,0.02127026
06-09-2016,774.04,789.48,770.22,788.87,3719788,0,1,774.04,789.48,770.22,788.87,3719788,-0.005564922
07-09-2016,789.53,790.79,784.33,784.48,2424622,0,1,789.53,790.79,784.33,784.48,2424622,-0.000535386
08-09-2016,783.89,786.5,781.44,784.06,2030511,0,1,783.89,786.5,781.44,784.06,2030511,-0.030507869
09-09-2016,779.36,781,760.11,760.14,4257344,0,1,779.36,781,760.11,760.14,4257344,0.01493146
12-09-2016,757.35,772.66,756,771.49,3124704,0,1,757.35,772.66,756,771.49,3124704,-0.013584103
13-09-2016,768.77,769.89,759.05,761.01,3117224,0,1,768.77,769.89,759.05,761.01,3117224,0.000105123
14-09-2016,762.2,767.5,758.85,761.09,2531822,0,1,762.2,767.5,758.85,761.09,2531822,0.011299583
15-09-2016,762,770.87,757.58,769.69,3043534,0,1,762,770.87,757.58,769.69,3043534,0.011472151
16-09-2016,773.28,780.46,771.66,778.52,5499182,0,1,773.28,780.46,771.66,778.52,5499182,-0.004392951
19-09-2016,779.97,781.94,771,775.1,2297221,0,1,779.97,781.94,771,775.1,2297221,0.006605599
20-09-2016,776,781.37,776,780.22,1937164,0,1,776,781.37,776,780.22,1937164,0.012201687
21-09-2016,783.25,790.69,779.01,789.74,2718644,0,1,783.25,790.69,779.01,789.74,2718644,0.018942943
22-09-2016,794.27,805.889,794.27,804.7,4078910,0,1,794.27,805.889,794.27,804.7,4078910,0.001304834
23-09-2016,803.13,807.75,802.12,805.75,2353511,0,1,803.13,807.75,802.12,805.75,2353511,-0.008178715
26-09-2016,801.8,805.93,797.145,799.16,2651397,0,1,801.8,805.93,797.145,799.16,2651397,0.02120977
27-09-2016,801.85,816.64,801.11,816.11,3819600,0,1,801.85,816.64,801.11,816.11,3819600,0.015451348
28-09-2016,818,830.14,817.0337,828.72,4422078,0,1,818,830.14,817.0337,828.72,4422078,0.000398204
29-09-2016,828.26,837.5,824.63,829.05,4922248,0,1,828.26,837.5,824.63,829.05,4922248,0.009963211
30-09-2016,832.61,839.95,832.4,837.31,4430566,0,1,832.61,839.95,832.4,837.31,4430566,-0.000680751
03-10-2016,836,839.86,831.25,836.74,2769448,0,1,836,839.86,831.25,836.74,2769448,-0.00323876
04-10-2016,840.91,842.365,830.26,834.03,2950314,0,1,840.91,842.365,830.26,834.03,2950314,0.012385646
05-10-2016,838,845.67,836.12,844.36,3469055,0,1,838,845.67,836.12,844.36,3469055,-0.003197688
06-10-2016,843.7,847.21,840.6,841.66,2684013,0,1,843.7,847.21,840.6,841.66,2684013,-0.002649526
07-10-2016,845.79,845.95,837.45,839.43,2426228,0,1,845.79,845.95,837.45,839.43,2426228,0.002716129
10-10-2016,843.25,845.2,840.27,841.71,1827143,0,1,843.25,845.2,840.27,841.71,1827143,-0.012724097
11-10-2016,841.02,841.29,828.35,831,3588180,0,1,841.02,841.29,828.35,831,3588180,0.003718412
